"","Number","Shannon","Simpson","Pielou"
"108781",188,1.16601590406895,0.581632816952994,0.222673317559085
"1214",265,1.10153422047252,0.349059332186803,0.197417124990962
"2904",281,0.323437332274765,0.082783329334794,0.0573637791950012
"308806",285,3.58888787444309,0.915631169441408,0.634921670787262
"335206",172,3.20855089632901,0.851899677427119,0.62332284391595
"338608",197,0.433147447976694,0.11978618024972,0.0819857552758355
"339806",399,1.1902826907397,0.312739215108293,0.198746094336641
"342406",228,2.9373481439692,0.833938057719835,0.541013290497563
"343506",256,1.57817604275302,0.449031358191677,0.284603343816194
"343712",234,2.06322604874918,0.610528721502812,0.378204326586904
"344102",252,1.81898604412192,0.516924118013809,0.328964530575176
"344501",207,0.730388334833156,0.30997362991686,0.136963594584353
"345206",337,1.53627109205002,0.422373674398346,0.263960343939121
"347004",324,0.489064295256451,0.129240241443208,0.084602316971923
"347512",172,0.334486609147723,0.093892763950753,0.0649804697517202
"350408",444,3.2593137178749,0.841511259283594,0.534679711414536
"351906",259,1.70164768615763,0.489296721521385,0.306226442003171
"352007",242,0.210870061692089,0.0604508222764282,0.0384172807585739
"354204",225,2.89348969028158,0.801987196152673,0.534238561955738
"354610",178,1.43612338749037,0.448695899712979,0.277148470898484
"360604",312,2.75654448212031,0.732878113690207,0.479983101519351
"360702",236,2.99221560348738,0.86251844175192,0.547640504002183
"363203",208,0.625704184390678,0.173456252004029,0.117227113895493
"363311",316,0.564618041174095,0.186275173765218,0.0980964783032267
"364506",297,0.590308091856739,0.166081279010098,0.103676828741872
"380313",268,1.72787651311374,0.549342867725493,0.309046778169363
"382109",254,0.327372824862191,0.0869454053126144,0.0591210154698604
"385604",442,2.04587300295973,0.706425640694417,0.33586749690395
"4008",164,3.03721557041247,0.846520157395164,0.595548062561368
"5192",291,0.668858532410991,0.222874487402578,0.117895367655377
"5298",190,2.37067071349961,0.781152012358209,0.451812433275817
"5324",283,0.885154403483171,0.238547671617261,0.156790847479708
"5392",409,1.04451704385128,0.353789806071709,0.17368914502073
"5800",249,3.38390832979924,0.894074380891578,0.613309872018567
"5801",267,0.745432311561526,0.191197162989352,0.133416705991918
"5802",246,1.93318930793691,0.620691930024375,0.351148572128548
"5803",261,0.597170150916517,0.159312169525043,0.107317451856348
"5804",485,1.24787799562584,0.341140103208347,0.201786538072285
"5805",297,2.9859539641598,0.789488882733222,0.524428246950812
"5806",278,3.89331565906647,0.94832139345102,0.691822633473845
"5807",287,3.90912937330293,0.950864690509108,0.690722088041449
"5808",352,1.89868191480412,0.563699912635845,0.323806504526686
"5809",265,0.534664281016899,0.136468086322078,0.0958226110746135
"5810",274,2.35404705906081,0.766219158762202,0.419382386156796
"5811",281,0.218313821870729,0.0546166049808476,0.0387194198793681
"5812",310,2.51039878031806,0.767058743154248,0.437613029198847
"5813",303,3.63243260763738,0.931852455271601,0.635737219656976
"5814",223,3.31536016788364,0.911844060382218,0.6131412701521
"5815",323,1.48447027680493,0.405266616212211,0.256933126771624
"5816",295,3.51952948202104,0.921794908322811,0.618875458656153
"5820",318,1.50038103766078,0.462199407514403,0.260390082973687
"5821",206,3.21592224300504,0.859911822103179,0.603603038269497
"5822",247,0.319294552231571,0.0989391075731222,0.0579546281224742
"5823",265,1.52389585307796,0.52950221052005,0.273112838901408
"5824",220,0.82779850342937,0.280325721777604,0.153477135066399
"5825",292,0.286865291788136,0.0828446510065148,0.0505333332711227
"5826",231,3.34363611045007,0.922068245809953,0.614365946955126
"5828",122,0.51755993022311,0.194966738316283,0.107734734174514
"5829",248,1.04514477340695,0.293952630345093,0.189563486085484
"5830",211,1.637016898097,0.59652142803554,0.305878230937663
"5833",167,2.17210278449941,0.694163093570756,0.424405121246859
"5834",197,0.876447831953022,0.325365257558911,0.165893249049925
"5835",191,1.60174116038526,0.503226526612126,0.304961495689107
"5836",261,2.52642398773556,0.768794709622102,0.454023671907265
"5838",264,3.66163370599308,0.932285024665113,0.656683488005108
"5839",183,2.91893938557262,0.876292906998973,0.560312341742292
"5840",241,2.34727407920079,0.764760012869324,0.427960069928593
"5841",220,2.94345033851071,0.861283307187251,0.545727400198652
"5843",251,2.17222415438594,0.631024310259506,0.39313051406194
"5845",228,2.40116061138846,0.795424272830141,0.442255987274632
"5846",456,2.77478998146891,0.830701227094268,0.453212452476363
"5847",180,0.877274124862,0.272792322233473,0.168935377291189
"5850",315,0.407915006186893,0.111196725053141,0.0709100139707523
"5851",280,1.4585418018453,0.431440583102498,0.258845831799106
"5852",244,0.550386371247028,0.205067744981203,0.100121798840834
"5855",519,0.729447690664048,0.18687106574644,0.116676088483731
